"3230-01-574-9904","Hardware","Reciprocating Saw Blade","Replacement blade for most portable electric or pneumatic jigsaws or sawzalls. Described by: (Shank size, Length, Teeth per inch (TPI) and Material used on).",8.54,"PG","H"
"3510-00-273-9738","General Products","Laundry Bag","Nylon laundry net features two brass grommets at the top that can be joined together by Laundry Pin NSN 3510-00-222-1457 (sold separately). Laundry nets are intended for use in laundries when washing items of clothing.",34.35,"DZ","H"
"3510-00-273-9739","General Products","Laundry Bag","Nylon laundry net features two brass grommets at the top that can be joined together by Laundry Pin NSN 3510-00-222-1457 (sold separately). Laundry nets are intended for use in laundries when washing items of clothing.",77.35,"DZ","H"
"3510-01-622-7152","General Products","Laundry Net","Locking drawstring, medium duty, 1/16"" hole size. Laundry net made of synthetic mesh.",7.87,"EA","H"
"3510-01-622-7153","General Products","Laundry Net","Locking drawstring, heavy duty, 3/16"" hole size. Laundry net made of synthetic mesh.",8.73,"EA","H"
"3540-00-223-8436","General Products","Steel Strapping Tensioner","For use with 2"" heavy-duty strapping  in the 0.050"" thickness range. Features limited drum take-up. For use on cut-to-length, heavy-duty flat steel strapping with any class of finish. Gripping dog grasps strapping. Rotating drum adjusts tension. Without s",234.72,"EA","H"
"3540-00-223-8589","General Products","Steel Strapping Sealer","Seals 3/4""-wide, 0.025- to 0.035""-thick steel strapping. Heavy-duty sealer has a single crimping notch. Handles operate at a right angle to strapping. With side jaw. Hand-operated, non-powered sealer crimps seals on steel strapping to form a complete stra",157.58,"EA","H"
"3540-00-223-8592","General Products","Steel Strapping Sealer","Seals 1-1/4""-wide, 0.044- to 0.050""-thick steel strapping. Heavy-duty sealer has a single crimping notch. Handles operate at a right angle to strapping. With side jaw. Hand-operated, non-powered sealer crimps seals on steel strapping to form a complete st",158.34,"EA","H"
"3540-00-273-8821","General Products","Strapping Coil Hand Truck","Use for dispensing ribbon-wound, flat steel strapping. Coils revolve on rollers mounted at bottom of frame; the integral rack holds ribbon-wound coils of 3/4, 1-1/4 and 2"" strapping simultaneously. Strapping coil hand truck conveniently rolls directly to ",279.23,"EA","H"
"3540-00-278-1251","General Products","Steel Strapping Tensioner","For use with 3/4 to 1-1/4"" heavy-duty strapping in the 0.028 to 0.050"" thickness range. Features limited drum take-up. For use on cut-to-length, heavy-duty flat steel strapping with any class of finish. Gripping dog grasps strapping. Rotating drum adjusts",224.77,"EA","H"
"3540-00-344-8642","General Products","Strapping Coil Hand Truck","The perfect device for dispensing oscillated wound, flat steel strapping. Coils revolve on a 16""-diameter removable dispensing reel. Handles strapping coil or coils with a width of 3 or 6"", 16"" inside diameter. Strapping coil hand truck conveniently rolls",206.64,"EA","H"
"3540-00-565-6240","General Products","Strapping and Sealing Kit","Consists of 3/8""-wide steel strapping (0.020"" thick) and 2,000 seals. Replacement strapping (100-lbs. coil) is available under 8135-00-283-0664 and replacement seals (box of 5,000) are available under 8135-00-239-5285. Hand-operated kit secures and reinfo",267.1,"KT","H"
"3540-00-565-6241","General Products","Strapping and Sealing Kit","Consists of 1/2"" wide steel strapping (0.020"" thick) and 2,000 seals. Replacement strapping (100-lb. coil) is available under 8135-00-283-0666 (Galvanized) or 8135-00-285-4747 (Painted)  and replacement seals (box of 5,000) are available under 8135-00-239",277,"KT","H"
"3540-00-565-6242","General Products","Strapping and Sealing Kit","Consists of 5/8"" wide steel strapping (0.020"" thick) and 1,600 seals. Replacement strapping (100-lb. coil) is available under 8135-00-283-0667 (Galvanized) or 8135-00-281-4071 (Painted) and replacement seals (box of 5,000) are available under 8135-00-290-",270.71,"KT","H"
"3540-00-565-6243","General Products","Strapping and Sealing Kit","Consists of 3/4""wide steel strapping (0.020"" thick) and 1,500 seals. Replacement strapping (100-lb. coil) is available under 8135-00-283-0668 (Galvanized) or 8135-00-285-4748 (Painted) and replacement seals (box of 5,000) are available under 8135-00-239-5",266.68,"KT","H"
"3540-00-565-6244","General Products","Strapping and Sealing Kit","Consists of 1-1/4""wide steel strapping (0.035"" thick) and 100 seals. Heavy-duty steel strapping cutter is also included. Replacement strapping (100-lb. coil) is available under 8135-00-283-0671 (Galvanized) or 8135-00-531-7721 (Painted) and replacement se",484.18,"KT","H"
"3540-00-857-8512","General Products","Steel Strapping Tensioner","For use on 5/8 to 3/4"" light-duty strapping in the 0.010 to 0.023"" thickness range. Has feed-wheel, unlimited takeup. For use on lubricated strapping, uncoated or coated, direct from the coil. Uses feed-wheel action to bite into and slide strapping. witho",68.17,"EA","H"
"3540-01-456-4286","General Products","Heat Sealing Machine","For the modified version of the sealing machine for surface ship use NSN 3540-01-533-4085. For the modified version of the sealing machine for submarine use see NSN 3540-01-533-4090. Width 6-1/2"", Height 6-3/4"", Throat 2-1/4"", Length 14 "", Wgt. 13 lbs, Sp",3875.49,"EA","H"
"3590-00-058-1837","General Products","Barber's Kit","A grooming essential for military personnel in the field. Barber's kit includes electric clipper (with speeds of 1700 to 2900 strokes per minute). Set includes various detachable blades and a size 0 manual clipper plus blade set; barber cloths (2 ea), com",344.07,"KT","H"
"3590-00-892-4525","General Products","Hair Clippers","Electric clipper cuts and trims hair. Set contains a detachable cutter head, 8 foot cord, size 1 and 000 blades, blade guard, blade-cleaning brush, and a container of oil. Operates on 115v AC/DC, 25- to 60-cycle, single-phase power. Weighs about 2 lbs.",78.78,"EA","H"
"3740-00-252-3384","Hardware","Mouse Trap","This standard size mouse trap features a four way mechanism that reacts to slight pressure on any side. It is made of wood, with trap wire and trigger. The trap has a double or single legged tension spring.",8,"DZ","H"
"3740-00-260-1398","Hardware","Rat Trap","This standard-size rat trap features a four-way mechanism that reacts to slight pressure on any side. The trap has a double- or single-legged tension spring. Has a wooden or plastic base.",26.04,"DZ","H"
"3750-00-599-6101","Hardware","Lawn Rake","Class A: Radial head, Head 17"" W minimum, Tines: 18, Handle: 42"" L minimum. Lawn rake is suitable for raking grass clippings, leaves, twigs and litter from lawns without injury to the grass or roots. This steel tine rake has a flexible head and a handle m",22.91,"EA","H"
"3750-00-641-1197","Hardware","Pruning Shears (Two Hand Loppers)","These rose and garden shears are for thinning plants or shaping small shrubbery. These shears have high carbon steel blades with steel, fiberglass or hardwood handles and a safety stop to protect operator.",17.24,"EA","H"
"3750-00-641-5587","Hardware","Pruning Shears (One Hand)","These rose and garden shears are for thinning plants or shaping small shrubbery. These shears have high carbon steel blades with steel, fiberglass or hardwood handles and a safety stop to protect operator.",18.39,"PR","H"
"3750-01-611-7559","Hardware","Garden Hoe","Control weeds with this hoe by agitating the surface of the soil around plants, piling soil around the base of plants (hilling), creating narrow furrows and shallow trenches for planting seeds and bulbs, to chop weeds, roots and crop residues, and even to",35.22,"EA","H"
"3750-01-611-8751","Hardware","Rake (Garden)","These rakes are perfect for removing leaves or dead grass (thatch) from lawns or for losenening and moving dirt.",37.17,"EA","H"
"3750-01-611-8752","Hardware","Rake (Leaf)","These rakes are perfect for removing leaves or dead grass (thatch) from lawns or for losenening and moving dirt.",25.81,"EA","H"
"3750-01-615-8542","Hardware","Rake (Garden)","These rakes are perfect for removing leaves or dead grass (thatch) from lawns or for losenening and moving dirt.",32.56,"EA","H"
"3920-00-847-1305","General Products","Hand Truck","This hand truck is portable and lightweight with either a collapsible, compact or fold-up design. The wheels are high-impact poly, steel or rubber, 4 to 8"" in diameter. The maximum carrying capacity is 200 lbs.",87.35,"EA","H"
"3990-00-171-9774","General Products","Load Binder","Light-duty binder has a 12,000-lb load rating. Has grab hooks and a slack take-up hook, but no compression spring. For 1/4"" and 3/8"" chains. Features a 16"" to 21"" operating lever. Lever-operated, all-steel, eccentric mechanism is used for tensioning tie-d",40.47,"EA","H"
"3990-00-171-9775","General Products","Load Binder","Heavy-duty binder has a 15,000-lb load rating. Has grab hooks, a slack take-up hook and a compression spring. For 3/8 to 1/2"" chains. Has a 20"" operating lever. Lever-operated, all-steel, eccentric mechanism is used for tensioning tie-down devices to bind",78.4,"EA","H"
"3990-00-596-7051","General Products","Load Binder","Heavy-duty binder has a 15,000-lb tensile proof rating. (Binder does not contain a compression spring). For 3/8"" through 1/2"" chains. Maximum length of operating lever is 19"". Latching-type binder has a low energy-release feature. Lever-operated, all-stee",75.41,"EA","H"
"4010-00-149-5584","General Products","Chain","General-use uncoated welded steel chain includes no attachments. Safe working load is 4,500- lbs.; Breaking load 18,000-lbs. Nominal (trade) size of chain is 1/2""; Nominal inside link dimensions: 1-1/2 x 13/16"", proof coil. Fed. Spec. RR-C-271 Type 1 Clas",247,"LG","H"
"4010-00-171-4426","General Products","Single-Leg Chain Assembly","Light-service chain, safe working load 1,900-lbs. Nominal inside link dimensions: 1-3/32 x 1/2"". Nominal (trade) size 5/16"" links, proof coil chain. Fed. Spec. RR-C-271 Type 1 Class 4. Welded steel chain assembly is intended for general service. Includes ",38.25,"EA","H"
"4010-00-171-4427","General Products","Single-Leg Chain Assembly","Rugged-service chain safe working load is 5,400-lbs. Maximum inside link dimensions: 1-3/16 x 19/32"".  Chain is forged from high-test, heat-treated carbon steel. Nominal (trade) size 3/8"" links. Fed. Spec. RR-C-271 Type 1 Class 2. Welded steel chain assem",46.21,"EA","H"
"4010-00-171-4512","General Products","Sash Chain","Weldless sash chain is made of strong, copper-coated carbon steel. Breaking strength 300 psi. Trade size 8.",155.25,"RL","H"
"4010-00-191-0091","General Products","Chain Link","Link has a 1,250-lb safe working load and 5,000-lb minimum breaking load. Overall outside dimensions are 1-1/2 x 1"". Oval-shaped steel connecting link repairs steel chain and allows for add-ons. Use for assembly with rivets only.",28.65,"BX","H"
